Product,Seller,SubscriptionType,Incentive,Date,IncentiveDate,SubscriptionStartDate,SubscriptionEndDate
Product A,Seller 2,New,131,2024-05-23,2024-05-23,2024-04-23,2025-04-23
Product B,Seller 2,New,77,2024-09-26,2024-09-26,2024-08-27,2025-08-27
Product C,Seller 2,New,117,2024-08-24,2024-08-24,2024-07-25,2025-07-25
Product C,Seller 3,Renewal,37,2024-07-15,2024-07-15,2024-06-15,2025-06-15
Product C,Seller 3,Renewal,93,2025-02-03,2025-02-03,2025-01-04,2026-01-04
Product C,Seller 1,New,98,2024-03-17,2024-03-17,2024-02-16,2025-02-15
Product A,Seller 2,New,129,2024-02-29,2024-02-29,2024-01-30,2025-01-29
Product B,Seller 3,New,118,2025-01-14,2025-01-14,2024-12-15,2025-12-15
Product B,Seller 2,New,90,2024-06-16,2024-06-16,2024-05-17,2025-05-17
Product C,Seller 3,Renewal,92,2024-07-18,2024-07-18,2024-06-18,2025-06-18
Product B,Seller 1,New,96,2025-01-24,2025-01-24,2024-12-25,2025-12-25
Product C,Seller 2,Renewal,68,2024-08-16,2024-08-16,2024-07-17,2025-07-17
Product B,Seller 1,New,129,2024-05-04,2024-05-04,2024-04-04,2025-04-04
Product A,Seller 3,New,93,2024-05-06,2024-05-06,2024-04-06,2025-04-06
Product C,Seller 3,Renewal,59,2024-09-13,2024-09-13,2024-08-14,2025-08-14
Product C,Seller 3,New,86,2024-10-20,2024-10-20,2024-09-20,2025-09-20
Product A,Seller 2,Renewal,92,2024-02-25,2024-02-25,2024-01-26,2025-01-25
Product A,Seller 3,New,114,2024-11-08,2024-11-08,2024-10-09,2025-10-09
Product B,Seller 2,Renewal,94,2024-12-20,2024-12-20,2024-11-20,2025-11-20
Product C,Seller 3,Renewal,33,2024-10-05,2024-10-05,2024-09-05,2025-09-05
Product A,Seller 2,New,61,2024-12-24,2024-12-24,2024-11-24,2025-11-24
Product A,Seller 1,Renewal,40,2024-08-07,2024-08-07,2024-07-08,2025-07-08
Product A,Seller 1,Renewal,35,2024-12-14,2024-12-14,2024-11-14,2025-11-14
Product A,Seller 1,Renewal,38,2024-08-17,2024-08-17,2024-07-18,2025-07-18
Product B,Seller 2,New,175,2024-11-18,2024-11-18,2024-10-19,2025-10-19
Product B,Seller 3,Renewal,77,2024-03-02,2024-03-02,2024-02-01,2025-01-31
Product A,Seller 1,Renewal,21,2024-02-17,2024-02-17,2024-01-18,2025-01-17
Product A,Seller 3,New,164,2024-07-23,2024-07-23,2024-06-23,2025-06-23
Product B,Seller 1,New,58,2024-10-16,2024-10-16,2024-09-16,2025-09-16
Product C,Seller 1,New,128,2025-01-28,2025-01-28,2024-12-29,2025-12-29
Product A,Seller 2,New,166,2024-12-17,2024-12-17,2024-11-17,2025-11-17
Product B,Seller 3,New,119,2024-11-23,2024-11-23,2024-10-24,2025-10-24
Product A,Seller 1,New,60,2024-05-16,2024-05-16,2024-04-16,2025-04-16
Product B,Seller 2,Renewal,27,2024-06-25,2024-06-25,2024-05-26,2025-05-26
Product A,Seller 2,New,83,2024-04-13,2024-04-13,2024-03-14,2025-03-14
Product A,Seller 3,New,179,2024-09-16,2024-09-16,2024-08-17,2025-08-17
Product C,Seller 2,New,160,2025-01-11,2025-01-11,2024-12-12,2025-12-12
Product A,Seller 1,New,176,2024-03-11,2024-03-11,2024-02-10,2025-02-09
Product C,Seller 3,Renewal,68,2024-06-04,2024-06-04,2024-05-05,2025-05-05
Product B,Seller 2,New,92,2024-04-11,2024-04-11,2024-03-12,2025-03-12
Product B,Seller 1,New,198,2024-12-28,2024-12-28,2024-11-28,2025-11-28
Product C,Seller 2,New,102,2024-08-18,2024-08-18,2024-07-19,2025-07-19
Product A,Seller 3,New,116,2025-02-03,2025-02-03,2025-01-04,2026-01-04
Product C,Seller 3,Renewal,57,2024-06-29,2024-06-29,2024-05-30,2025-05-30
Product B,Seller 2,New,71,2024-06-24,2024-06-24,2024-05-25,2025-05-25
Product A,Seller 3,Renewal,40,2024-06-14,2024-06-14,2024-05-15,2025-05-15
Product C,Seller 1,New,164,2024-08-25,2024-08-25,2024-07-26,2025-07-26
Product B,Seller 3,New,61,2024-05-01,2024-05-01,2024-04-01,2025-04-01
Product A,Seller 1,Renewal,22,2024-08-24,2024-08-24,2024-07-25,2025-07-25
Product B,Seller 3,New,72,2024-04-05,2024-04-05,2024-03-06,2025-03-06
Product B,Seller 3,New,118,2024-08-25,2024-08-25,2024-07-26,2025-07-26
Product C,Seller 3,Renewal,88,2024-11-03,2024-11-03,2024-10-04,2025-10-04
Product A,Seller 2,New,170,2024-09-08,2024-09-08,2024-08-09,2025-08-09
Product B,Seller 3,New,131,2024-07-13,2024-07-13,2024-06-13,2025-06-13
Product B,Seller 2,Renewal,71,2024-07-03,2024-07-03,2024-06-03,2025-06-03
Product C,Seller 1,Renewal,75,2024-08-14,2024-08-14,2024-07-15,2025-07-15
Product B,Seller 1,New,144,2024-07-06,2024-07-06,2024-06-06,2025-06-06
Product A,Seller 2,New,88,2025-01-25,2025-01-25,2024-12-26,2025-12-26
Product B,Seller 1,New,67,2024-06-04,2024-06-04,2024-05-05,2025-05-05
Product C,Seller 1,New,166,2025-02-06,2025-02-06,2025-01-07,2026-01-07
Product B,Seller 2,Renewal,90,2024-03-19,2024-03-19,2024-02-18,2025-02-17
Product A,Seller 3,New,178,2024-07-16,2024-07-16,2024-06-16,2025-06-16
Product C,Seller 1,New,52,2025-02-10,2025-02-10,2025-01-11,2026-01-11
Product A,Seller 2,New,162,2024-08-05,2024-08-05,2024-07-06,2025-07-06
Product B,Seller 3,Renewal,64,2024-11-05,2024-11-05,2024-10-06,2025-10-06
Product A,Seller 1,New,130,2025-01-21,2025-01-21,2024-12-22,2025-12-22
Product A,Seller 1,New,61,2024-08-27,2024-08-27,2024-07-28,2025-07-28
Product A,Seller 3,Renewal,20,2024-12-21,2024-12-21,2024-11-21,2025-11-21
Product C,Seller 1,New,98,2024-04-29,2024-04-29,2024-03-30,2025-03-30
Product A,Seller 1,Renewal,62,2024-03-12,2024-03-12,2024-02-11,2025-02-10
Product B,Seller 1,New,111,2024-11-12,2024-11-12,2024-10-13,2025-10-13
Product B,Seller 3,Renewal,58,2024-07-13,2024-07-13,2024-06-13,2025-06-13
Product A,Seller 2,Renewal,74,2025-01-19,2025-01-19,2024-12-20,2025-12-20
Product B,Seller 1,New,117,2024-04-11,2024-04-11,2024-03-12,2025-03-12
Product B,Seller 2,Renewal,50,2024-05-17,2024-05-17,2024-04-17,2025-04-17
Product A,Seller 2,New,79,2024-06-28,2024-06-28,2024-05-29,2025-05-29
Product C,Seller 1,Renewal,81,2024-08-12,2024-08-12,2024-07-13,2025-07-13
Product A,Seller 3,Renewal,62,2025-01-24,2025-01-24,2024-12-25,2025-12-25
Product A,Seller 3,New,152,2024-05-29,2024-05-29,2024-04-29,2025-04-29
Product C,Seller 3,Renewal,87,2024-08-29,2024-08-29,2024-07-30,2025-07-30
Product A,Seller 1,New,155,2024-03-28,2024-03-28,2024-02-27,2025-02-26
Product A,Seller 2,Renewal,42,2024-02-18,2024-02-18,2024-01-19,2025-01-18
Product A,Seller 2,New,142,2024-04-22,2024-04-22,2024-03-23,2025-03-23
Product B,Seller 2,New,193,2024-05-04,2024-05-04,2024-04-04,2025-04-04
Product A,Seller 2,New,94,2025-01-15,2025-01-15,2024-12-16,2025-12-16
Product A,Seller 2,Renewal,50,2024-02-26,2024-02-26,2024-01-27,2025-01-26
Product C,Seller 1,Renewal,36,2024-09-24,2024-09-24,2024-08-25,2025-08-25
Product B,Seller 2,Renewal,30,2024-12-28,2024-12-28,2024-11-28,2025-11-28
Product C,Seller 1,New,89,2024-11-24,2024-11-24,2024-10-25,2025-10-25
Product B,Seller 2,Renewal,78,2024-12-17,2024-12-17,2024-11-17,2025-11-17
Product A,Seller 2,New,57,2025-02-01,2025-02-01,2025-01-02,2026-01-02
Product B,Seller 2,Renewal,69,2024-09-28,2024-09-28,2024-08-29,2025-08-29
Product A,Seller 2,New,96,2024-11-30,2024-11-30,2024-10-31,2025-10-31
Product B,Seller 3,Renewal,98,2024-12-29,2024-12-29,2024-11-29,2025-11-29
Product C,Seller 1,Renewal,96,2024-09-16,2024-09-16,2024-08-17,2025-08-17
Product C,Seller 1,New,194,2024-04-30,2024-04-30,2024-03-31,2025-03-31
Product C,Seller 2,New,64,2024-11-17,2024-11-17,2024-10-18,2025-10-18
Product C,Seller 3,Renewal,23,2024-06-01,2024-06-01,2024-05-02,2025-05-02
Product A,Seller 2,New,93,2024-09-05,2024-09-05,2024-08-06,2025-08-06
Product C,Seller 1,Renewal,28,2024-10-16,2024-10-16,2024-09-16,2025-09-16
